user_id,user_name,about,stars,review_count,member_since,contests_won,runner_up,1_to_1_projects,tags,repeat_clients,reviews,certification,timestamp
4866302,afikadesign,I specialize in the development of corporate identity brands. I'm known for my iconic and minimalistic designs.,0.0,0,"November 03, 2021", 2 , 5 , 0 ,['Logo design'], 0 ,"['The design was everything we needed and more! Afikadesign made numerous revisions and often responded within the minute. Thanks so much for the great work.', ""thank you,I'm waiting for the next job.""]",['Mid Level'],2022-01-23
1778754,Shadsign,The Difference does not mean Unique,0.0,0,"October 12, 2014", 3 , 8 , 0 ,"['Logo design', 'Illustration or graphics']", 0 ,"[""Shadsign was responsive and quick working and really worked with me closely to give me a design I wanted! We kept working together to get there, and I'm very happy with the winning design!""]",['Entry Level'],2022-01-23
2114939,fahmicity,"I'm Graphic Designer from Indonesia currently based in Depok.
  I love everything that has to do with Web & Mobile User Interface Design, Graphic Design, Vector, Editorial Design, Logo, Branding & Packaging",5.0,22,"August 26, 2015", 31 , 86 , 5 ,"['Logo design', 'Illustration or graphics', 'App design', 'Web page design', 'Icon or button', 'Other design', 'Other business or advertising', 'Other art or illustration', 'Infographic', 'Character or mascot', 'Brand guide', 'Banner ad']", 4 ,"[""Great work couldn't ask for more"", 'Thank you for your hard work ', 'Good work, great designer.', 'Excellent work! Fast delivery and delivery was so good that no changes were needed', 'The amazing designer was able to transform the briefing into the perfect logo without any explanation.', 'The design they created for us fits our brand perfectly. We are very happy with how swiftly edits were made how organized the final files were delivered. Would reach out to them again in the future for other projects!', 'Great work, nailed the brief in ONE logo.  Well done and what a great outcome.  Thank you', 'elegant aber den nagel auf den kopf getroffen\rhat alle wünsche umgesetzt', 'Extremely responsive and great with direction. Always made the changes I requested quickly.', 'Repeated customer -- and we are very happy with his designs.', 'Thank you for your work. Very relevant and meets our expectations perfectly.', 'Excellent work. Designer is working fast, delivering high quality and has good communication skills.', 'Great work as always.', 'aesthetic, mnemonic and moderne. BRAVO.', 'Fantastic design work. Implemented our idea perfectly with the kind of clean, modern style we were looking for. Highly recommend.', 'With limited and vague description he was able to design something that pleased my group of 6 people', 'Very responsive and is able to take terrible, vague design feedback and do something useful with it. ', 'excellent to work with and goes above and beyond the ask!', 'Great design work & quick turn-around. ', 'Fantastic work,  exactly as needed.', 'nice design, thank you', 'Fabulous job, responsive, creative. Highly recommend']","['Brand guide', 'Mid Level']",2022-01-23
494626,ree23,"Creative--yet work closely to client's brief and ideas. Anti mainstream approach to get your product, company, or service, be on top of the mind of your customers. That's what logo are for anyway, right?",5.0,44,"December 06, 2010", 94 , 294 , 65 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & business card', 'T-shirt', 'Social media page', 'Logo & social media pack', 'Product label', 'Web page design', 'Poster', '3D', 'Product packaging', 'Banner ad', 'Postcard, flyer or print', 'Other design', 'Infographic', 'Email', 'Business card', 'PowerPoint template', 'Other packaging or label', 'Other business or advertising', 'Menu', 'Landing page design', 'Illustration or graphics', 'Icon or button', 'Brochure']", 13 ,"['Great design!  Designer was easy to work with and very responsive!', 'Great work! Ryan was extremely professional and provided quick service.', 'Great designs and communication!', 'Always great!  Timely and solid designs.', 'Great at communication and skills', 'Thanks so much for all of your great work on this logo!', ""I've worked with Ryan on a number of occasions. Ryan's superior skill and talent made him the clear and outstanding winner of my first design challenge. Since we have done a number of 1 to 1 design projects and every time Ryan has delivered work to simi..."", 'Thanks for all of your work!', ""Ryan was very fast and the finished product looks great, only minor issue is the sizing for graphics weren't properly done for mobile and tablet. Besides that communication was top notch and I'm happy with the delivery."", 'The perfect blend between class, sexy and sass. ', 'Great logo design.', ""Always a pleasure to work with! Probably the best turn around time for quality i've ever seen!"", 'Always excellent! Amazing to work with!', 'Excellent, friendly, incredibly easy to work with. Totally helped transform the entire look of our company. Something much needed and refreshing! ', 'Awesome person to work with. We will continue to use their wonderful services in the future! Highly recommended! ', 'Excellent job! 100% recomended. Easy to qork with, cooperative, and very creative in his designs. He pays attention to the details and your description', 'Great! Quick results, only made us want to work with him more!', 'Nice work happy with service', 'Great communication and designs!', 'Great designer.  Gave us a truly original design.', 'Excellent job ree23, grateful for your skill and creativity!  ', 'Logo is symbolizing our company name and indication of the name in a modern and simple way.', 'Incredibly professional, clean, modern design. ', 'Great designer, Would work with again! Very patient and has a real talent at bringing your vision to life.', 'Great logo the communication went well and if I had any changes he made them right away. Would recommend this designer to anyone!', 'The designer was quick to make changes whenever I asked and came up with such a great idea.   Was exactly what I was looking for!', 'Very professional and (thankfully) very patient! He created a great design, perfect for my act and was very supportive during the lengthy process. I would absolutely recommend Ryan, he was also very happy to explain to me about the different files I nee...', 'Excellent graphic designer with great visual talent and skill. Very good communication and fast turn around of work. Has been a great experience working with Ryan and would work with them again. ', 'Great communication, accurately interpreted my design brief and produced original ideas that were executed extremely well. Very talented designer! I look forward to continuing to work with ree23 on further projects.', 'excellent work and very responsive ', 'ree23 did a great job capturing my vision for my company and logo.  I love the design.  He was also easy to work with and very responsive.', 'Quick communication and did not hesitate to continue to modify the design every time we asked (which was a lot!). ', 'My team loved the design!', 'Great design. Perfect files. Thanks!', 'Staright forward and good result working with ree23', 'Awesome to work with. Very responsive and helpful. Thank you!', 'Very professional, fast reply, very friendly ... absolutely recommendable, thanks for erverything !!!', 'Ryan been very professional. I was very responsive and very creative, without losing touch with clients needs and the design brief. The whole experience with both Ryan, and the other designers who reached the final of my contest was very fluid, professi...', 'ree23 was very creative and listened to our brief request. The submission was always very quick and the communication clear. We are very pleased with the results!', 'Awesome job, very happy with how the designs came out. ', 'Nailed the design. Perfect for indie authors looking for a logo. ', 'Great job! Designer was easy to work with! Received files quickly.', 'Great designer! Creative and fun designs, and very responsive to our feedback. ree23 was dedicated to improving our design throughout our lengthy logo process. We would definitely choose Ryan (ree23) for future design needs!', 'LOVE the logo! Excellent customer service :)', ""Ree23 was very creative and followed our design brief perfectly. We are extremely satisfied with the work and appreciate Ree23s professional and responsive approach to the contest.We had alot of great submissions but  Ree23's work stood out in the end."", 'very good. was pleased to make various changes.', 'Very happy with the end result and Ryan (ree23) made 5 or so rounds of alterations exactly as I asked - and very quickly.Great work Ryan, thanks!', 'We are very pleased with our logo design from Ryan... he gave us everything we asked for in a timely & professional manner. His work looks shows maturity and good skill. Thank you again!', 'Made all changes exactly and quickly.  Pleasure to work with.', 'ree23 was awesome to work with!  Read our Brief and implemented ideas based on that. Very creative, skilled at graphic design, open to any and all changes/suggestions and worked his magic right up to the finish.  Very responsive and quick with revisions...']","['Print', 'Brand guide', 'Top Level']",2022-01-23
3266368,Civ_Kings,I will give the best of my work .,0.0,0,"April 16, 2018", 2 , 6 , 0 ,['Logo design'], 0 ,"['Smoothly way to work. Nice design.', 'Civ_Kings was very easy to work with! He was prompt to act on feedback that Daniel and Dustin both had, and ultimately produced a logo that we loved. ']",['Entry Level'],2022-01-23
3430907,arfi_▼,"“An artist who gives his best masterpiece will get a place in the hearts of art lovers.""",5.0,17,"September 11, 2018", 21 , 55 , 4 ,"['Logo design', 'Logo & brand identity pack', 'Logo & social media pack', 'Business card']", 2 ,"['arfi_ was just a beast with this job: great aprroach to our briefing since the beggining, very fast in proposals and cooperation, and as a result, an amazing logo that fit our needs. will recommend 100% and we keep in touch for future projects.', ""Arfi's design was completely original and really fit what I was looking for. She is super quick to respond and always kind and polite. Highly recommended!"", 'Responds and revised very quickly! Also, we loved the concept they came up with.', 'Super simple business cards. Awesome design.', 'thanks a lot for the amazing job.', 'Awesome new logo, thank you for your work. Pleasure to work with you. ', 'Loved the shield design as the GG for Garage Gyms, very creative and gave me plenty of colour and font options', 'Bayden.j.dobsom Very nice, nice to work with him.', 'I really did not know what I wanted. I was happy with how responsible they were to the changes I wanted. Great experience. ', 'Great design and quick adjustments based on feedback. Would work with again! This designer is AWESOME.', 'Arfi was absolutely excellent the whole way through! Thank you! So polite as well.', 'Super helpful at the design process. He not only came close with an initial design, listening to my initial requests, but then was super responsive in mocking up different versions, one of which ended up being the winning design. would work with him again.', 'Very responsive! Great design and would definitely use again.', 'Loved working with Arfi on this logo project. He was great!! We would hire him again!', 'Amazing service and very creative!!', 'A great designer that took our feedback and turned it into our ideal design. Thank you!', 'The design for my chiropractic health care office that Arfi created for me is awesome!  He is very creative and really great at taking my feedback to create an amazing finished product and provided me with my logo in several different file formats, visu...', 'Great designs and very responsive throughout the contest.', 'Great design created for our needs.  Quick in response and quick to make some minor changes.  Thanks!!']",['Mid Level'],2022-01-23
2679825,FarzanArt™,"Hello! Call me Farzana, more than 10 years working as a graphic designer. We'll help you to find solutions for your company branding. Feel free to contact us via message or 1-to-1 Project",0.0,0,"October 15, 2016", 4 , 25 , 0 ,"['Logo design', 'Logo & brand guide', 'Logo & brand identity pack']", 0 ,['Awesome job! Great to work with and communication was fast.'],"['Print', 'Brand guide', 'Mid Level']",2022-01-23
458430,ReliableTech,"Reliable Tech is the one stop digital marketing company established in the year 2007. Situated in Kolkata (India), our uniqueness lies in providing complete range of Digital solution. The services we offer are Web Designing, Logo Designing, Graphic Designing, Application Development, Search Engine Optimization, and Web Development.",4.88,8,"September 01, 2010", 59 , 240 , 7 ,"['Logo design', 'Web page design', 'Landing page design', 'WordPress theme design', 'Banner ad', 'Logo & business card', 'Print or packaging design', 'Logo & social media pack', 'Postcard, flyer or print', 'Logo & brand guide']", 4 ,"['Great job, exactly what I was looking for', 'Great work and very responsive ', 'The designer was amazing and gave me such an incredible logo! Everything I was looking for and more! Was also very professional and quick! Love it!!', 'ty, perfect and easy to work with', ""Designer was quick and efficient for simple job.  I was disappointed that he didn't provide me with more variants.  Also got an attitude when I asked him for extra work.  I would use him again for small jobs though, as long as you clearly state what you..."", 'The designer was great to work with. Very easy and did what I requested.  Thank you.', 'Magic, this designer is the best of the best ,thanks ', 'good job. easy to work with', 'Besides the fact that we really liked his design idea,the communication was very good and all our ideas for changes or visual spikes to checkout if our wanted adoptions work, were done quite fast and in outstanding quality.Also the handover process w...', 'The best thing i have come across in a long while !! Great concept ! Great designers ! Very user friendly website ! Superb customer service ! :D : D A VERY SATISFIED CUSTOMER !! Cant wait to use this website again for my business cards, website and t sh...', ""eDesigners did great work for our logo contest.  The contest was very long due to travel, work, etc.  eDesigners was patient and turned in the top 3 of the top 5 designs!  We'll be using eDesigners for upcoming projects for some of our clients.  Highly ..."", 'Fantastic outcome!  They really nailed the logo and brought to life what we were hoping to get!', ""edesigners came in and stole the contest on the first try. I didn't even need any revisions. They understood exactly what I wanted and tackled my request.""]",['Entry Level'],2022-01-23
4900501,byroglyphics,"My work dwells in a netherworld between urban fine art and contemporary graphics, A collision of real and digital media it is primarily illustration based with a firm foundation in drawing, I focus mainly on the human form particularly the face, interweaving elements from the animal kingdom often reflecting the absurdity of human nature.",0.0,0,"December 07, 2021", 0 , 0 , 0 ,['Entry Level'], 0 ,[],['Entry Level'],2022-01-23
1497335,kpdsgn,,5.0,9,"February 01, 2014", 19 , 68 , 8 ,"['Logo design', 'Other web or app design', 'Logo & brand identity pack', 'Stationery', 'Product label', 'Other design', 'Logo & business card', 'Business card']", 5 ,"['Great Designer, great quality, great communication', 'Excellent professional work', 'This artist was able to reach the design we were looking for with very little feedback. The style was exactly what we wanted and the process was quick and easy. Thank you.', 'Professional, quick response time and easy to work with.', ""We're a repeat customer. Always great to work with. Quick turnaround, always happy to rework designs. Very helpful. Highly recommend!"", 'Very responsive and creative design. ', 'great work again. repeat customer. ', ""Couldn't be more pleased with the quality and efficiency exemplified in both of my projects. "", 'Great designers, professional and patient. All willing to edit and change the logos and give ideas. It was great working with them!']","['Brand guide', 'Mid Level']",2022-01-23
3934608,AlbertEinstein_,بِسْــــــــــــــــــمِ اللهِ الرَّحْمَنِ الرَّحِيْمِ,4.71,7,"October 29, 2019", 8 , 38 , 0 ,"['Logo design', 'Logo & brand identity pack', 'Logo & social media pack', 'Logo & brand guide', 'Logo & business card']", 0 ,"['FABULOUS!  AlbertEinstein_? listened to us and really captured our brand. Albert Einstein adjusted the design throughout the process. We are very pleased with the logo and the process. ', 'Very professional and responsive', 'Thank you for your cooperation. Best regards :-)', 'Excellent experience.  High quality logo that met all of our design needs. AlbertEinstein_ was very responsive to our design changes and was enjoyable to work with.  Thank you.', 'minimalista, rápido y claro', 'Great work. Awesome designer.', 'AlbertEinstein was excellent to work with!  He was very responsive to any changes that were requested with a quick turnaround.  Highly recommend!', 'Made a great logo for us. Helpful with revisions ']",['Entry Level'],2022-01-23
2893944,Rumi_A,THE BEST FOR YOU,4.97,61,"May 07, 2017", 108 , 361 , 10 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & social media pack', 'Logo & business card', 'Business card', 'Icon or button']", 8 ,"['Rumi did a fabulous job! Very creative, quick response, and pleasant to work with.  Thank you!', 'Very quick response to design iterations. Design and finalized content completed within a week after closing of contest. Rumi_A provided an original design concept that captures the core of our business. ', 'Great design and very nice interaction', 'I have worked with Rumi twice now. He does not disappoint!', 'Thank you, will be happy to cooperate with you in the future', 'Smart and clean design, I would definitely recommend the work of this designer. ', 'thank you, thank you very much', 'Rumi does great work an is very responsive to any change requests. Highly recommend!', 'thank you, thank you very much', 'It was thoughtful and elegant! ', 'thanksI will do my best for you', 'Easy to work with, great responses and most importantly, great design work.', 'working with you was a wonderful experience, would love to work with you again', 'Awesome! Rumi_A is very creative and provided quick responses, considerate revisions, sincere advice. Thanks for the great work!', ""It's great to be able to work with you, would be very happy to work with you again"", 'Very good job )', 'thank youvery happy to work with you Cheers, Matthew', 'Excellent work and extremely attentive!   ', 'thank you very much, very happy to work with you', 'very professional.', 'Great work. Loved the output. ', 'Awesome experience', 'Rumi was extremely easy to work with, very receptive to feedback/direction, and actually won with the first logo he submitted.  Totally understood the brief and what we were looking for.', 'Rumi was responsive and easy to work with.  The designs that Rumi came up with were perfect for our brand.  We are very pleased with the outcome and will look to use Rumi in the future again.', 'Perfect! Fast and individual adjustment ', 'Rumi was very easy to communicate with, he was very quick to respond and his changes were right on with my request on the first revision. I would recommend him to anyone. ', 'Great designer. Well defined colors, typography and overall feel for design. Also very fast in responding to feedback!', 'Very responsive to our requests and easy to work with. We are very happy with our final design. ', 'Very responsive designer and innovative design! ', 'Logo design was great and professionally completed, however when it came to the brand guidelines there should be a bit more care and thought put into the work. ', 'Great logo! Great designer! Thank you! ', 'Excellent response time and creativity!', 'Fast, compatible and perfect', 'Great design. A big fan of the use of the colours.', 'Perfect ! very creative and flexible ! ', 'Very creative and he has shared with me a lot different options, very flexible. ', 'Great communication', 'Second time using 99 designs. Excellent results, great platform.', 'Great designer, great work. Thank you : )', 'responsive, patient and talented. thanks for the great work. We already have another project on the go. ', 'provided excellent design and was very responsive. ', 'A+++++++++++++++++++++', 'Thanks Rumi for your design. Loved it.', 'Great logo idea! Rumi is very talented and communication was fast and on spot!', 'Fantastic! Did a great job in providing a logo and business card design.', 'We love the design and the designer was polite and communicative and proactive', 'Nice to work with! ', 'Rumi_A created a timeless logo that checked all the boxes I needed it to. ', 'Rumi_A was very responsive and great to work with! We are very pleased with the final product. ', 'Rumi_A was great to work with, I definitely enjoyed his professionalism.', 'Great job! Love the design and attention to our requests! Would work with again!', 'Rumi was helpful and creative. A joy to work with!', 'Did a great job helping me get to the logo that I wanted in a timely manner. Very responsive', 'Very good designer who can think very deep into the product and offers customised designs.', 'Very good designer, fast, available, it was really nice to work with Rumi.', 'Excellent designer. I instantly like your logo. Communication was smoothless', 'Great designer! Super responsive and great results', 'Rumi was fantastic to work with!  She had original creative designs, was always accessible, and was very responsive to my requests for ideas and alterations to the design.  I recommend her highly, and she has helped get my start-up off to a great start ...', 'Great design which needed minimal change and designer was lovely to deal with and very accommodating with the minor changes required', 'Love the logo: cool and describes our image very well. Been a pleasure working with Rumi. ', 'Great quality work. Thanks. ', 'Second time I have worked with Ananda, fantastic!', 'Anand was great. Her first submission was pretty much spot on. I will definitely use her again.', 'Very easy to work with and incredibly responsive.\rHighly recommend. ', 'Great process and quick turnaround...thanks for the help!', 'Sehr freundliche und unkomplizierte Zusammenarbeit. Ananda war motiviert, schnell, voller kreativer Ideen und lieferte ein tolles und vor allem für mich passendes Design!', 'Ananda was a pleasure to work with, produced excellent design ideas, modified as requested and did it all very quickly. Would definitely recommend and work with again.', 'Nanda did a fantastic job! They are very creative, professional and responsive.', 'The design looks great! Easy to work with, handled all requests promptly.']","['Print', 'Brand guide', 'Mid Level']",2022-01-23
772983,Jemmmmmy,Logo Designer  and Design Freelancer,0.0,0,"January 17, 2012", 0 , 3 , 0 ,['Logo design'], 0 ,[],['Entry Level'],2022-01-23
