user_id,user_name,about,stars,review_count,member_since,contests_won,runner_up,1_to_1_projects,tags,repeat_clients,reviews,certification,timestamp
3013000,Ameline Studio,"ğŸ‡¬ğŸ‡§ Hi! I'm AnaÃ¯s, a French illustrator and designer. I love to draw and design by hand. Feel free to contact me if you like my style!",4.95,81,"August 25, 2017", 81 , 76 , 25 ,"['Logo design', 'Logo & brand guide', 'Product label', 'Logo & business card', 'Logo & social media pack', 'Illustration or graphics', 'Logo & brand identity pack', 'Book cover', 'T-shirt', 'Character or mascot', 'Card or invitation', 'Product packaging', 'Typesetting with imagery', 'Postcard, flyer or print', 'Other business or advertising', 'Other book or magazine', 'Typesetting', 'Sticker', 'Signage', 'Other web or app design', 'Other packaging or label', 'Business card']", 14 ,"[""RÃ©active, sympathique, Ã\xa0 l'Ã©coute des demandes et surtout talentueuse. Je recommande le travail d'Ameline studio. Un grand merci ! "", ""Rapide, efficace. Je suis amoureux du rÃ©sultat et j'imagine que c'est le principal. Merci !"", 'Great custom book cover design with quick results!', ""Un superbe travail rÃ©alisÃ©, nous avons trouvÃ© une graphistea l'Ã©coute et sommes ravis de notre crÃ©ation de marque.\rmerci beaucoup, un bon logo participe a la rÃ©ussite de sa marque."", 'Amazing experiencing and she is very professional and timely! ', ""Je suis trÃ¨s satisfaite du travail d'Ameline Studio !! Professionnelle, trÃ¨s Ã\xa0 l'Ã©coute et trÃ¨s rÃ©active, AnaÃ¯s a trÃ¨s vite compris mon besoin et surtout cernÃ© l'univers de la marque / le style graphique que je voulais. Je recommande vivement !"", 'Excellent work offered by Anais from A to Z, both on the quality of all presented designs as on the clear and responsive communication or how clean the whole files returned in fine were. I hope we will have other opportunities to work together because h...', 'Thank you so much :) Love your work :)', 'Wonderful to work with and likely to work with again in the future! ', 'I would highly recommend Ameline Studio! ', ""Une excellente expÃ©rience ! Nous avons apprÃ©ciÃ© le style, la rÃ©activitÃ© et le professionnalisme d'Ameline Studio. La communication Ã©tait facile et agrÃ©able, l'Ã©coute et les propositions au rendez-vous. Notre logo est magnifique et rÃ©pond aux attentes qu..."", 'Ameline did a fantastic job! She was very communicative and responded promptly. We was quite quick with her design! I will definitely work with her again!', 'Travail top et a lâ€™Ã©coute merci', 'Au top et toujours prÃªt pour les ajustements. RÃ©alisation trÃ¨s professionnelle et rapide ! Merci beaucoup', 'Nous adorons notre logo, Ameline Studio a su rapidement nous proposer quelque chose qui colle parfaitement Ã\xa0 notre entreprise. Nous sommes ravis de notre collaboration.', 'Merci Ã\xa0 Anais pour sa comprÃ©hension de notre projet, sa force de proposition et sa crÃ©ativitÃ©. Elle a beaucoup travaillÃ©, cela a permis de tester diffÃ©rentes variantes. Elle a Ã©tÃ© trÃ¨s rÃ©active en terme de dÃ©lais. \rMerci pour tout et pour ce trÃ¨s beau ...', 'Made 3 beautiful illustrations in less than 24 hours! Would definitely work with this designer again, beautiful work! ', ""J'ai adorÃ© collaborÃ© avec AnaÃ¯s. C'est une personne crÃ©ative, attentive et rÃ©active. Je n'hÃ©siterais pas Ã\xa0 la recontacter pour d'autres projets et je ne peux que la recommander."", ""Amazing work. Anais is so thoughtful and helpful every step of the way. She was the first designer I've ever worked with, and she was patient with me. I highly recommend working with Anais!"", 'She has fulfilled all our wishes efficiently and perfectly.', 'Bon travail, bonne communication', ""Personne trÃ¨s agrÃ©able et professionnelle. Patiente et trÃ¨s Ã\xa0 l'Ã©coute de ses clients.  Je recommande vivement ses services ! "", 'AnaÃ¯s was really helpful and receptive. She gave us concepts which sparked our creativity, and helped us clarify what direction we wanted to proceed in. Then, once we decided on a design we would be happy with, she executed our vision very well.', 'Excellente expÃ©rience avec 99designs, mais surtout avec AnaÃ¯s. Nous sommes plus que ravi du contact, de sa rÃ©activitÃ©, de son travail et de ses propositions. Le travail est impeccable, fin et appliquÃ©. Le brief a Ã©tÃ© totalement respectÃ© dÃ¨s les premiÃ¨re...', 'Classe,appropriÃ© et clair ', ""She was very responsive and took my feedback with great care. It made a design that I didn't think would be in the running to my top pick!"", 'Super travail, exactement ce que nous souhaitions.\rJe recommande. Merci', 'Je vraiment trÃ¨s satisfaite de la bonne collaboration et du rÃ©sultat obtenu. Un grand merci', 'TrÃ¨s compÃ©tente, AnaÃ¯s nous a apportÃ© entiÃ¨re satisfaction. ', 'AnaÃ¯s did a fantastic job designing our new ecommerce website. I absolutely love the finished product and have had so many compliments on it already!! Highly recommended!', ""En un mot : Fantastique.\rLe design bien sÃ»r, mais la personne Ã©galement. Le travail rÃ©alisÃ© est toujours irrÃ©prochable et AnaÃ¯s reste disponible et Ã\xa0 l'Ã©coute en tout temps. Une trÃ¨s belle rencontre."", 'Un travail de pro dans un dÃ©lais ultra rapide! Merci pour tout!', 'AnaÃ¯s is a talented designer, and provided excellent photograph retouching for brand-aligned web images. Excellent quality and fast turnaround!', 'This brand identity pack clearly illustrates exactly the look and feel our budding jewelry company was seeking. AnaÃ¯s worked quickly and diligently to incorporate feedback, and developed a vision for the brand that we fell in love with! Highly recommend...', 'AnaÃ¯s is a hard worker with whom it is very pleasant to work. I recommend her 200%!', 'AnaÃ¯s was prompt, creative and professional. She took my brand idea in a totally different direction that I love. Her efforts infuse Digital Coven with the magic that I intended for it to have. I would work with her again, and highly recommend.', 'Toujours un trÃ¨s bon travail ! ğŸ™�ğŸ�»ğŸ‘�ğŸ�»', 'bonne adaptation Ã\xa0 la demande et rÃ©active', 'AnaÃ¯s Munier a Ã©tÃ© trÃ¨s investie dans le projet. De plus elle est trÃ¨s rÃ©active et trÃ¨s efficace ! FÃ©licitations !', ""Une illustratrice qui a su rÃ©pondre Ã\xa0 notre besoin et qui a trÃ¨s vite compris l'image que nous souhaitions vÃ©hiculer avec notre produit. "", 'AnaÃ¯s created some great designs from our initial description - really spot on! and was smooth to work with when finalizing the designs! :)', 'Super designer !! Elle a tout de suite compris nos attentes, elle est trÃ¨s rÃ©active et efficace ! En 3 jours, on a eu notre logo (retours compris), avec des dizaines de superbes dÃ©clinaisons. ', ""Design moderne et fÃ©minin, comme je l'avais demandÃ©. \rAnaÃ¯s est vraiment Ã\xa0 l'Ã©coute et rÃ©active"", 'Anais was a pleasure to work with!  The designer worked closely with us to create a unique design that perfectly reflects our business. ', 'Super travail , correspond parfaitement a ma demande ', 'Je suis conquise ! TrÃ¨s accessible, un travail propre et soignÃ©, des propositions vraiment intÃ©ressantes... Merci encore !', 'Amazing, loved all the designs I got and she was super responsive. Really happy!', ""Merci Ã\xa0 AnaÃ¯s pour son travail, un talent extraordinaire et un positivisme qui traverse Ã\xa0 chaque fois l'Ã©cran. Totalement Ã\xa0 l'Ã©coute pour une trÃ¨s belle collaboration."", 'The definite winner of my logo contest. Designed something I never even knew I wanted. So in love', 'TrÃ¨s bonne comprÃ©hension de ma demande, Grande rÃ©activitÃ© et adaptabilitÃ©. belle qualitÃ© de la crÃ©ation.', ""This is my second time working with AnaÃ¯s and I am even more pleased than the first. She is a wonderful designer that can make any idea in one's head into a beautiful design. The entire process was extremely smooth and I look forward to working with her..."", 'Tout est parfait', 'tres content du travail rÃ©alise, logo professionel', 'Working with AnaÃ¯s was a breeze - I had a very complicated vision in mind coming into this and I had no idea what to expect. I was blow away at AnaÃ¯s ability to hit every single request out of the park. AnaÃ¯s is such a talented artist and I am so excite...', 'Really a wonderful designer to work with overall. Upon submitting my two favorite first stage designs, she quickly and efficiently made several revisions that were requested in the 2nd stage, ultimately producing the final logo. Additionally, the design...', ""As always AnaÃ¯s has been wonderful, realizing all my wishes in a professional and competent manner. Can't wait to work with her again!"", ""Excellent travail, Ã\xa0 l'Ã©coute et disponible"", ""Au top ! Disponible et Ã\xa0 l'Ã©coute, AnaÃ¯s a fait un travail de qualitÃ© pour les logos. Elle a su trouver ce qui correspondait le plus aux valeurs de l'entreprise derriÃ¨re. Patiente et professionnelle sur les modifications, je suis super contente du rÃ©sul..."", ""AnaÃ¯s a compris de suite ce que je recherchais et m'a fait une proposition qui a Ã©tÃ© un vrai coup de coeur. TrÃ¨s  rÃ©active et professionnelle c'est un plaisir de travailler avec elle! "", ""Super ravie d'AnaÃ¯s ! Travail soignÃ©, personne sympa et rÃ©active. J'ai beaucoup aimÃ© collaborer avec elle. Je la conseille sans aucun doute et je l'encourage Ã©galement  ;-)"", 'Anais was great!! I loved my design, it was exactly what I was looking for my logo. I will definitely  work with her again.', 'AnaÃ¯s was wonderful to work with and her designs are beautiful. I highly recommend her for any of your design needs. She was very responsive, communicated great and responded to all of my feedback very quickly. She made my ideas turn into something bett...', 'AnaÃ¯s is a fantastic artist and designer who fulfilled all my wishes regarding my book cover and layout in a fast and professional manner. She always found a solution for minor technical issues and worked on the designs and typesetting until everything ...', 'Merci pour votre travail.', 'I was nervous to try 99designs but AnaÃ¯s met all my needs and MORE. She is hardworking, communicative, easy to work with, and has excellent taste. I will absolutely be working with her again. I am ecstatic with my logo. Thank you, AnaÃ¯s! You have made l...', 'Wonderfully professional, nailed the brief, made adjustments as needed and overall did an outstanding job. Better than what we even imagined for the project when we started! We would love to work with you again, Thank you Anais! ', 'I am in love with Anais logo. She has understood right away what I was asking. She used the right color, the right drawing. She was super efficient (not hundreds back and forth). It was a pleasure to work with her. Thanks a lot.\rJe recommande plus que ...', 'Rapide efficace et trÃ¨s professionnelle ', ""TrÃ¨s bon travail de design intÃ©rieur de mon livre, j'apprÃ©cie travailler avec AnaÃ¯s. "", ""J'ai apprÃ©ciÃ© de travailler avec AnaÃ¯s, une jeune femme vraiment crÃ©ative, Ã\xa0 l'Ã©coute, qui ne manque pas d'idÃ©es et de propositions. \rI enjoyed working with AnaÃ¯s, a young woman who is really creative, attentive, and full of ideas and proposals. "", 'TrÃ¨s satisfait de la prestation. La qualitÃ© du travail est trÃ¨s bonne. Je recommande vivement. \r', ""AnaÃ¯s is a responsive, competent and attentive person. I appreciate his personal touch and involvement.\rAnaÃ¯s est une personne Ã\xa0 l'Ã©coute, rÃ©active et compÃ©tente. J'apprÃ©cie sa touche personnelle et son implication."", 'Anais was a pleasure to work with.  Her designs are beautiful!  Her attention to detail is amazing.  Very happy with our new logo.', ""Comme d'habitude, Anais est trÃ¨s rÃ©active !"", ""AnaÃ¯s a su trouver l'alternative Ã\xa0 ce que je souhaitais au niveau du design et des Ã©lÃ©ments Ã\xa0 travailler. Elle est Ã©galement trÃ¨s rÃ©active et n'hÃ©site pas Ã\xa0 proposer plusieurs alternatives. Je le recommande vivement!"", 'I really like my new design ! I can grow up now thanks to him and be professional :) Thank you very much to 99 designs and to my designer !', 'Loved the designs!  Great work.  Delivered on concept.  Thank you!', 'I wanted something that would stand out and she delivered. Was hands down better than the rest of the designers!', 'AnaÃ¯s designed a beautiful illustration for my debut album. She showed great enthusiasm, she took the effort to listen to all tracks, and in the last stage she processed very precisely all additional wishes. A pleasure to work with!', 'Great design. Very attentive and presented us a great job.', ""Toujours Ã\xa0 l'Ã©coute de nos demandes, trÃ¨s rÃ©active et efficace dans le travail. Quelle belle expÃ©rience!""]","['Print', 'Brand guide', 'Mid Level']",2022-01-22
1540285,07Hs,"I love designing so much.. I always do my best for my clients. Feel free to invite me on 1-to-1 project, the price can be negotiated and not expensive. Thank you.. !",5.0,12,"March 10, 2014", 29 , 134 , 2 ,"['Logo design', 'Icon or button', 'Logo & brand identity pack', 'PowerPoint template']", 4 ,"['Very creative and responsive to requests.   Thanks!', 'Thank you for your work and I really enjoyed working with you. Million Thanks.', 'Harry was meticulous, detailed oriented, creative, open to feedback, and it was overall a very pleasant experience working with him. Thank you very much for the excellent work that you have done, and going above and beyond the job scope to provide a gif...', 'Awesome quick transfer! ', 'Great work, thanks a lot.', 'I provided a simple brief, requesting an illustrated logo with specific personality requirements. 07Hs provided a great design in the first round. When I selected the design, 07Hs immediately completed the design, and sent out a wide range of file for...', 'Sehr fleißig, sehr schnell, sehr kommunikativ und immer bemüht, auf meine Ideen und Vorschläge einzugehen ... sehr gerne wieder!', 'Thanks for doing a great job!', 'we worked well together making some revisions and getting a design that we wanted.', 'Excellent job!  Very creative and easy to work with!\rHighly recommended.', 'GREAT JOB!! did everything in a timely matter', 'Easy to work with, very responsive. ', 'Great job! thank you!', 'It was very easy to chat with 07Hs and feedback/amendments were turned around pretty quickly. I will definitely work with him again!']","['Brand guide', 'Mid Level']",2022-01-22
2015318,deez.xyz,,5.0,6,"May 28, 2015", 15 , 31 , 0 ,"['Logo design', 'Logo & brand guide', 'Logo & brand identity pack', 'Logo & business card', 'Logo & social media pack']", 0 ,"['Great response time and worked hard to give us different design options by request. We really love the logo, thank you so much deez.xyz!', 'We love the logo and Deez the designer was great to work with.\rVery creative design with attention to detail. We highly recommend!!', 'Great designs and super fast! ', 'This designer was professional and polite.  She provided spot-on samples of what I was looking for and showed me a variety of options for it.  I am very pleased and would use her again. ', 'This designer was amazing! We liked his design far more than any other we saw and he was extremely fast at sending over mockups that we asked for. He was very professional and we look forward to the opportunity to work together again in the future! ', 'I love the work deez.xyz did for my brand! Deez was super easy to work with and was very responsive to all my change requests. The logo I ended up with is top notch and Deez should definitely be considered a Top Level designer. Thank you 99designs for t...']",['Mid Level'],2022-01-22
1888189,Bejn Creative,"Graduated graphic designer and illustrator from Serbia with 5+ years of experience in design and illustrations.
  Check out my portfolio, and if you like it feel free to send me a 1-to-1 project invite and work with me.",4.98,40,"January 30, 2015", 38 , 148 , 13 ,"['Logo design', 'Logo & social media pack', 'Logo & brand guide', 'Logo & brand identity pack', 'Product label', 'Logo & business card', 'Web page design', 'Illustration or graphics', 'Website builder', 'T-shirt', 'Product packaging', 'PowerPoint template', 'Poster', 'Other packaging or label', 'Other design', 'Other art or illustration', 'App design', 'Clothing or apparel']", 7 ,"['Fast, excellent work as always', 'Captured the theme I was looking for on the first submission.  Working through iterations was prompt and never too much trouble, even in light of my own indecision.  Very pleased with the result.', 'fast service and good work !', 'Very nice clean design... also, delivered design files for multiple versions. Satisfied with my logo, thanks Bejn!', 'The designer is very responsive and intuitive to requests..', 'Bejn was super responsive and transparent through the whole process.  It was great working with him on this project! ', 'Awesome. Great communication', 'Excellent work, responsive to input and changes, very creative and talented. Highly recomend. Thank you Bane!', 'This designer really stood out from the rest of the submissions. Their work shows a creative direction, not just clip art. We are very pleased with the result and had no troubles through the process. ', 'Bane was great! Super creative design and so easy to work with given his quick response time! We love our new logo, Bane!', ""I loved Bane's concept from the very beginning. His design which incorporated code - for people to head directly to the website was exactly what I was looking for! "", 'Thank you Bane!', 'Great work as always!', 'Great job!! Made several revisions and was very responsive. Thank you for your hard work!', 'Great to deal with', 'Thought I was pretty set in my design I submitted. Bane put his own take on it and I loved it. Perfect for what I was looking for in classic automotive logo. Very pleased with the outcome. ', 'great to work with', 'Bane really goes above and beyond.  He really took the time to understand what we wanted and utilized the resources I provided; even finding our business online and creating a unique design that captured our image and focus.  He was QUICK to respond and...', 'Beautiful thank you Bane!\rTim', ""Such a pleasure to work with. Takes feedback really well and is always incredibly quick to reply and share new / edited designs. This is the second time we've worked with Bane and it won't be our last!"", 'Bane is a fantastic designer, a pleasure to work with as always. Bane is very responsive and always willing to work with our vision to achieve the perfect final design. We highly recommend him!', 'Excellent work!!!', 'Bane was so helpful. We loved all his designs, he was very quick to respond to feedback. We definitely want to work with him again.', 'The cooperation was very professional, we received our change requests immediately and the new logo is just perfect! I can warmly recommend Bane Vujkov to everyone!', 'Bane came up with what i considered the best design!', 'Excellent experience. Will highly recommend the site and the designer. ', 'Bane had a good vision for our brief. He worked diligently and the response time was very reliable. Will consider working with them again in the future. Thank you, Bane!', ""Bane's design really impressed me and was faultless in one go. "", 'Bane did a fantastic job with our design. He ensured everything was completed to our satisfaction. ', 'Bane did a great job! He developed a beautiful logo for our new company that was just what we were looking for.', 'Bane was able to offer a differentiating logo, with a certain originality. he knew how to adapt to my changes to get as close as possible to my wish. Thanks for his availability', 'Bane did a great job. He was also very quick to respond with design changes.', 'Absolutely outstanding designer. Took my concepts and provided many initial design options, all of which were unique. He was able to take my feedback from the design I liked most and improve on it multiple times to make it just perfect. I would absolute...', 'Great job, quick response, easy to work with', 'Great design and very responsive', 'Very nice work and innovative and brilliant designer.', 'Quick, easy to work with, very helpful.', 'Bane worked very diligently in order to provide the desired outcome. \rHe is well in touch and I had a very positive experience working with Bane. \rI am very pleased with my result.', 'Improved design based on inputs during the contest and made the winner in the end', 'Great quality for our new logo, and Bane was highly responsive. Would definitely recommend. ']","['Print', 'Brand guide', 'Mid Level']",2022-01-22
4016678,Stafe KurangNgopi,I am a freelance digital illustrator pursuing my career as a graphic designer.,5.0,7,"January 09, 2020", 14 , 52 , 2 ,"['Logo design', 'Logo & brand identity pack', 'Logo & brand guide', 'Logo & business card', 'Logo & social media pack', 'Business card', 'Brand guide']", 1 ,"['Really accurate in what we wanted and fast like the wind!', 'Provided a good variety of logos for us to choose from. Excellent work!', 'Stafe KurangNgopi continues to provide ongoing support for my client requests and we will be using these services again! Very professional and well trained. ', 'Designer was easy to work with, clean simple design.', 'Quick work by Stafe KurangNgopi! Understood the brand I wanted and the simplicity required for a corporate feeling logo. Great job.', 'Great job. Thank you ', 'Great designs and communication!']",['Entry Level'],2022-01-22
2095720,Ermanto_1453,,0.0,0,"August 09, 2015", 1 , 8 , 0 ,['Logo design'], 0 ,"['Great design. Just needs to use the proper programs to provide AI files. Also some files are blurry', ""Thank you very much for the advice sirAnd I'm sorry to disappoint you sirI'm really sorry sir""]",['Entry Level'],2022-01-22
3528723,VECTOR PRO DESIGN,"Has been a Graphic Designer since 15 years ago, working in the fields of production design for event exhibition, promotional design, banner advertising, interior design, logo design, restaurant menu design, Book Layout Design, 3D design, Product Design",0.0,0,"December 02, 2018", 5 , 6 , 0 ,"['Logo design', 'Other design', 'Logo & business card', 'Illustration or graphics', 'Logo & brand identity pack']", 0 ,"['Loved working with CODE_Communicate on this design - they hit a home run with the original design. Highly recommended 10/10', 'Thank you very much, Best Regards']",['Entry Level'],2022-01-22
423011,arnhival,Branding is my passion. Love unique art.,4.99,79,"May 20, 2010", 97 , 186 , 58 ,"['Postcard, flyer or print', 'Logo design', 'T-shirt', 'Brochure', 'Poster', 'Logo & brand guide', 'Illustration or graphics', 'Banner ad', 'Other business or advertising', 'Logo & business card', 'Cup or mug', 'Book cover', 'Signage', 'Merchandise', 'Business card', 'Logo & social media pack', 'Character or mascot', 'Logo & brand identity pack', 'Brand guide', 'Product label', 'PowerPoint template', 'Other web or app design', 'Other book or magazine', 'Magazine cover', 'Infographic', 'Icon or button', 'Facebook cover', 'Facebook ad', 'Email', 'Clothing or apparel']", 33 ,"['Great communicator.', 'Anhival is an excellent designer and a pleasure to work with. Great communication and a fantastic eye for design.', 'Thank you! Will be in touch for more work soon.', 'Thank you so much Sir. Looking forward for more project with you in the future! Stay safe! ☺️', 'Great work. Quick to get the files.', ""Thank you Sir! It's my pleasure to work with you. Always stay safe ^_^                            (edited)"", 'Great designer, she did an amazing work and keep always attentive', ""Thank you Sir Thom! I'm also happy working with you :-) Stay safe!                            (edited)"", 'Great job on our project. Very patient, good graphic designer. Much appreciated!', 'Wonderful, patient, and great graphic designer, with all the changes and updates. We are currently working on our second project and hope to continue more work in the future. 5 Star recommended. ', 'Super to work with', 'Sleek, great design and quick turnaround.  Easy to work with and understood exactly what we were looking for, even with additional revised versions at the end. Highly recommend. ', 'Great design and response to requests', ""We love the color palette she came up with, and appreciate this artist's willingness to work with our limitations. She was very prompt and patient with us when we weren't, and the quality of her work reflects very well on 99designs."", 'She had a very creative approach and excellent skill.  She was also a pleasure to work with. ', 'Love working with you as always', ""Arnhival is one of the best designers I've ever worked with. She has creative ideas, is very responsive, and every project she has worked on has turned out excellent. "", 'Arnhie did an absolutely beautiful job. She was extremely gracious, thoughtful, and communicative. Her concept was heartfelt, and that was palpable from just looking at it much less the description she wrote. She really understood my brand and was a tru...', 'Arnhie did beautifully at every step. She was extremely thoughtful and an excellent communicator. Additionally, she felt the heart of my brand and created a logo that spoke to that in a very gentle and uplifting way... she did phenomenally in every way,...', 'Arnhi is an excellent designer who is fast and attentive.', 'Very responsive, high quality of the design. Brought in own ideas and delivered.', 'Arnhie is always easy to work with and very accomodating.', 'Clever design, great communication. ', 'She really read all the comments and found the fun in what we were trying to accomplish. She was quick, responsive, intuitive to our needs, and very professional. We cannot thank her enough. ', ""She understood the look and feel that I was going for from the get-go. With a few simple tweaks, we got a logo that I am now absolutely IN LOVE with! I can't wait to work with her again - best designer I've come across on 99designs!"", 'Thank you very much! Really good work\r\rRegards\rManuel', 'Arn is a super star. She has great ideas and always eager to help and deliver what you ask for. It is important to note she cares about the work she does! \rWe would definitely work with her again. Thanks Arn!', 'Thanks again for a quick turnaround!', 'Always a pleasure to work with.  Very intuitive.', 'Arnhie is fantastic designer who has great ideas and excellent communication. Highly recommend!', 'The first time I saw your design, I thought This is the one!  You could express the invisible - the inner brand values - and a brand is not just the surface or a nice picture. Plus, it is a very attractive visually logo too! Happily, my target audienc...', 'Thanks for the work on this logo', 'Arnhie is fantastic to work with! Arnhie has creative ideas and completes revisions quickly. Great freelancer!', 'Arnhival was an excellent designer who created fantastic concepts and provided timely revisions. Highly recommend.', 'Excellent designer to work with!', 'Excellent service.', 'We have hired arnhival twice now for design projects, and are very pleased.', 'Followed direction well. Quick response.', 'Took direction really well and took the time to understand what was important to us. Ended up creating exactly what we were looking for. Just an overall great experience.', 'Thanks for another great project.', 'As always. Awesome work.', 'Thanks again for wonderful work. ', 'The edited image looks great and Arnhival is great to work with. Quick turn around!', 'The designs provided were creative and there was a nice variety of options to choose from. The quick responses and turn time on this project was excellent!  ', 'great fast work', ""She's very good."", 'Excellent work and communication', 'Another amazing job!  This artist outdid herself again.  Her submission was different and refreshing.  And, her positive attitude and professionalism when it comes to making changes is simply wonderful.  ', 'Arnhie is great to work with!', 'Arni is ALWAYS great to work with!', 'I was impressed by her patience and her prompt response to questions. I am  very pleased with the quality of her work.', 'Great job on designing the flyer for our customer service rewards program! Appreciate your patience during our internal review and approval process too. ', 'Great job as usual!  Thank you!', 'Wonderfully responsive with a great eye. A+++ designer to work with. Thanks!', ""It's a pleasure working with Arnhival."", 'Very prompt and responsive', 'Talented designer!  Easy to work with and prompt responses! ', 'She is fantastic!', 'Arnhie does EXCELLENT and CREATIVE work and always achieves what I ask for.  She is a pleasure to work with.', 'Arnhival and I have developed a great working relationship.  I highly recommend her.  She is good, fast and responsive!!!', ""Arnhival is one of the most responsive designers I've ever worked with. She is willing to go the extra mile to get a great result. "", 'Very good artist and very honest.  I love working with arnhival!', ""She is very talented, responsive and honest!  We are already working on our next project so you can't have her :)"", 'She was fast and did a great job.  I will use her again.', 'Fantastic and problem-free process - highly recommended! :)', 'Great work and easy to communicate with!', 'Great work. Very easy to work with. Happy with my choice.', 'Arnhival did a great job for me.', 'Thank you so much!', 'Everything went GREAT!\r', 'We have worked with this designer several times and she always delivers a great product.', 'We have used this designer many, many times.', 'thanks for the design! best regards basti', 'She did an excellent job!!!   Her design made me want to jump into the ocean.  \r\rThank you very much and I will keep you posted for any addition work. \r\rEric ', ""The bottom line, Arnhival's work was superb!  She was the #1 winner amongst a large group of artist.   I found her drawing inspirational and out of the box.  Just as important, she was very patient with my request for changes and very embracing of new i..."", 'Great to deal with. Listened to all my opinions and made alterations to suit straight away. ', 'Excellent work...thank you!', 'awesome and very patient!', 'Thanks again. Great provider. ', 'I live working with this provider. ', 'Awesome provider!', ""Great experience working with this designer.  Creative, fun and really tries to meet the customer's needs by studiously reviewing the brief, asking good clarification questions and trying multiple concepts to give you something to think about."", 'She is amazing to work with.  Her design was just what I was looking for!  She was patient and flexible during the whole process.']","['Print', 'Brand guide', 'Facebook Ad', 'Mid Level']",2022-01-22
735715,o ' B r a i n,"I am graphic designer with over 5 years of experience in the design world helping business promote themselves effectively. My expertise includes all aspects of design from stationary (like as business card, letterhead, envelope, media social promotion, etc) and specialy logo maker (clean, simple, modern, elegant, sophisticated, luxury, etc.). I am proficient in tools Adobe Creative Suite (Adobe Illustrator, Adobe Photoshop, and Adobe InDesign, Adobe Premier), 3D Sketchup.",0.0,0,"December 01, 2011", 6 , 22 , 1 ,"['Logo design', 'Book cover', 'Logo & social media pack', 'Other design', 'Logo & business card']", 1 ,"['We received more than 100 different designs. However, this designer stood out due to the simplicity, yet harmony, and professionalism of the logo. In addition, the designer provided a few other options of logos and fonts per our request in a minimum amo...', ""Thank you for your cooperation, I hope we can meet in the next project, don't hesitate to contact me, if you need anything related to design, good luck for your business! thanks"", 'It took me a little while to figure out what I wanted, WinS88 patiently made attempts and then zeroed in on it. ', 'The icon you designed was exactly what I had hoped to receive from entering a design contest like this. It will definitely help me place a stamp on my name that is memorable and enable me to brand myself more effectively. I will continue playing with th...']",['Entry Level'],2022-01-22
819131,art on paper,Hello creatives! I'm a professional graphic & web designer / letterer / brand stylist with a passion for visual design and an eye for detail and a strong design aesthetic! I specialize in artisan branding for soulful creatives. I truly love what I do and find it an honor to play a role in so many beautiful brands for creatives entrepreneurs across the world. Let me help you to take your business to the next level.,5.0,5,"March 04, 2012", 25 , 65 , 2 ,"['Logo design', 'Logo & business card', 'Stationery', 'Logo & brand identity pack', 'Logo & social media pack', 'Other art or illustration']", 2 ,"['The designer listened to my comments and made the exact adjustments needed to create a beautiful design. Thank you!', 'I am very satisfied with the design\rthe designer understood what I was looking for my brand.\rvery good work !\rThank you :)', ""Great job , I'm very happy with my new logo. Working with Art on paper was a pleasure."", 'Thank you so much! Best designer to work with, absolutely loved our logos :)', 'Art on Paper did a great job designing a logo that exemplified our brand. She was attentive and made changes to the logo in a timely manner. ', 'Great designs and a nice partner to work with. Understands instructions and needs of the clients while keeping everything her own style.', 'Great Designer.  Very easy to work with and some good ideas.  Thanks for your hard work :)']",['Mid Level'],2022-01-22
